"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"Caloptilia triadicae"	2	6.87322	263.454052844221	99.8383114404801	1	-2.56996366567342	0.005	199
"Grapholita dimorpha"	2	101.466394	260.631520954774	101.492487856406	5	-1.56824539743242	0.025	199
"Phoebis sennae"	6	164.453035533333	264.787466470352	56.3385909436852	1	-1.78091835909262	0.005	199
"Megalopyge crispata"	14	214.650200252747	259.392286150422	34.2732212537859	1	-1.30545318650878	0.005	199
"Cyclidia substigmaria"	2	247.469011	256.916857467337	96.0419629537349	86	-0.09837206755018	0.43	199
"Pterodecta felderi"	0	NA	NA	NA	NA	NA	NA	199
"Melitaea cinxia"	7	209.851565714286	261.234479122757	45.4300263596263	2	-1.13103419755299	0.01	199
"Psychonoctua personalis"	7	238.16199552381	256.340156869107	46.3244700953006	74	-0.392409482675161	0.37	199
"Brahmaea hearseyi"	6	105.683596	261.546647514238	52.8504148367793	1	-2.94913582032607	0.005	199
"Amata phegea"	0	NA	NA	NA	NA	NA	NA	199
"Hyles euphorbiae"	2	35.9462	258.142208668342	93.0559353433553	1	-2.38776825839737	0.005	199
"Thymelicus sylvestris"	3	37.0422673333333	263.603257112228	83.2134782268653	1	-2.72264775618705	0.005	199
"Pseudopostega quadristrigella"	2	42.9802	250.28860521608	69.7001891235406	2	-2.97428755679034	0.01	199
"Pheosia gnoma"	2	88.2524	260.940340110553	95.9663391922422	2	-1.79946366157221	0.01	199
"Culama crepera"	2	69.0598	253.392696150754	85.1674958962314	2	-2.16435735500955	0.01	199
"Sphinx pinastri"	4	79.2327983333333	273.962383598828	80.5364421037031	1	-2.41790648033284	0.005	199
"Lactura subfervens"	2	27.2206	268.712370557789	106.507615486362	1	-2.26736622968254	0.005	199
"Sesamia inferens"	23	102.757314237154	258.334526864798	25.0078115905504	1	-6.22114462372354	0.005	199
"Darapsa myron"	3	198.199973333333	260.664183319933	73.4340190686088	4	-0.850616795578625	0.02	199
"Therinia lactucina"	0	NA	NA	NA	NA	NA	NA	199
"Psilocorsis reflexella"	9	212.996077055556	258.547994814629	41.0985203218687	4	-1.10835906992094	0.02	199
"Triodia sylvina"	4	239.231363833333	260.504429007538	63.0490337285829	71	-0.337405094355321	0.355	199
"Dendrolimus pini"	6	134.217565333333	268.562339360804	62.3312212883039	1	-2.15533678389003	0.005	199
"Thyatira batis"	2	168.6108	262.113152894472	97.3738221841654	10	-0.960241169517092	0.05	199
"Junonia coenia"	26	112.870577541538	257.705431792532	21.5552250527357	1	-6.71924574652546	0.005	199
"Helicoverpa zea"	109	236.581759947333	257.558997528441	11.2217022695894	1	-1.8693454056392	0.005	199
"Spodoptera exigua"	82	244.020601012045	256.948251224434	12.6434232185577	32	-1.02248022461314	0.16	199
"Butterfly species name"	0	NA	NA	NA	NA	NA	NA	199
"Colias croceus"	3	77.6177286666667	259.445662864322	75.0564327818133	1	-2.42254963976536	0.005	199
"Hemaris diffinis"	10	195.721706622222	259.652970133333	40.9563335646428	1	-1.56096158876639	0.005	199
"Anthocharis cardamines"	9	51.3994218888889	255.087057015075	38.998711842608	1	-5.22293238679867	0.005	199
"Lerema accius"	10	44.4070274	263.735993826354	42.0804188925578	1	-5.21213838166293	0.005	199
"Macroglossum pyrrhosticta"	2	224.68224	249.377628658291	82.6611690173098	40	-0.298754408531533	0.2	199
"Manduca sexta"	26	176.685415332308	257.103723741879	21.2993326660852	1	-3.77562572829432	0.005	199
"Polyommatus icarus"	8	104.447173142857	260.38780975682	44.6111422675081	1	-3.49555354756159	0.005	199
"Hylephila phyleus"	12	53.1185357424242	258.518705720649	36.0228185399161	1	-5.70194610814878	0.005	199
"Phyllocnistis citrella"	11	196.197620109091	257.436846115669	35.7416552676224	1	-1.71338527966984	0.005	199
"Chilo suppressalis"	25	139.270414746667	258.958058141876	24.0648036289893	1	-4.97355578879644	0.005	199
"Calycopis cecrops"	7	203.499093809524	255.330474365638	43.3671467780298	3	-1.19517617383056	0.015	199
"Demonarosa rufotessellata"	5	196.6416524	255.117375669347	52.1760646111246	5	-1.12073847855668	0.025	199
"Dyseriocrania subpurpurella"	2	23.5534	248.99564778392	69.4636357085011	2	-3.24547146840932	0.01	199
"Calledapteryx dryopterata"	2	35.0478	274.983431050251	121.084394328617	2	-1.9815570155067	0.01	199
"Smerinthus saliceti"	2	76.07721	261.271178738693	100.963627224517	4	-1.83426421801259	0.02	199
"Axia margarita"	2	35.9462	258.142208668342	93.0559353433553	1	-2.38776825839737	0.005	199
"Saturnia pyri"	21	223.39349287619	260.770486780043	28.2642519236144	1	-1.32241228265534	0.005	199
"Pseudothyatira cymatophoroides"	14	198.500628747253	259.313464764758	34.8878865233162	1	-1.74309315002108	0.005	199
"Attacus atlas"	103	238.357183931848	258.696993368839	11.7445687619185	6	-1.73184812906389	0.03	199
"Actias luna"	27	228.151924410256	256.639248107918	23.4902533723625	3	-1.21272952003059	0.015	199
"Antaeotricha schlaegeri"	2	195.759203	264.54408441206	101.131518333042	12	-0.6801527609379	0.06	199
"Pararge aegeria"	11	46.1745480727273	259.454314551667	37.242690858647	1	-5.72675501049143	0.005	199
"Bicyclus anynana"	2	187.642918	257.482960678392	94.7003928557016	18	-0.737484191695063	0.09	199
"Pseudothyris sepulchralis"	2	81.11	253.743753733668	83.8312814012097	1	-2.05929995161898	0.005	199
"Polygonia c-album"	14	211.239045615385	260.444621912806	34.9023558933845	1	-1.40980673189307	0.005	199
"Heliothis virescens"	50	225.628624093878	257.099875997133	17.0165978508097	1	-1.84944441768996	0.005	199
"Phaecasiophora niveiguttana"	3	262.820768	259.271951309883	76.79230899027	155	0.0462131785953576	0.775	199
"Cameraria ohridella"	2	18.19314	246.685434773869	68.5286989043603	1	-3.33425701096057	0.005	199
"Spodoptera frugiperda"	89	231.319398881512	258.886248613923	12.683902188979	1	-2.17337293537028	0.005	199
"Cnaphalocrocis medinalis"	14	138.392801087912	261.728666468165	34.6240805479946	1	-3.56214124471231	0.005	199
"Agathiphaga queenslandensis"	2	10.45378	268.648682502513	116.924780131368	1	-2.20821370980919	0.005	199
"Plodia interpunctella"	47	271.974644989824	257.290355171919	16.7048424098746	152	0.87904389982304	0.76	199
"Vitacea polistiformis"	2	81.11	253.743753733668	83.8312814012097	1	-2.05929995161898	0.005	199
"Micropterix calthella"	0	NA	NA	NA	NA	NA	NA	199
"Hemerophila diva"	2	23.8448	269.072626718593	107.859850540596	1	-2.27357840280239	0.005	199
"Galleria mellonella"	0	NA	NA	NA	NA	NA	NA	199
"Heliconius melpomene"	2	42.893	255.724754592965	88.007398121576	1	-2.41833935709533	0.005	199
"Maniola jurtina"	7	39.2146204761905	261.56689243934	50.0582223269678	1	-4.44187311548539	0.005	199
"Pterophorus pentadactyla"	3	98.58617	265.377098338358	82.4964406130385	1	-2.02179545079667	0.005	199
"Urbanus proteus"	18	150.608912647059	256.794424952311	28.5021303354249	1	-3.72552897118975	0.005	199
"Parum colligata"	2	34.8394	265.315937633166	104.287384751488	1	-2.21001359064072	0.005	199
"Phragmatobia fuliginosa"	24	228.853921833333	260.639939996686	25.8583341804169	3	-1.22923688515965	0.015	199
"Xylophanes tersa"	16	194.435212166667	259.552807190536	28.9200113803373	1	-2.25164486166637	0.005	199
"Acrocercops transecta"	5	142.767032	260.720787398995	55.9779424807754	1	-2.10714703277106	0.005	199
"Cydia pomonella"	13	172.363849076923	258.536583440278	30.5186897101435	1	-2.82360531142705	0.005	199
"Archaeoses polygrapha"	2	9.48721	262.514654552764	101.80788530736	1	-2.48534230711962	0.005	199
"Telchin licus"	2	213.468186	258.419946683417	87.5310952538656	14	-0.513551904646502	0.07	199
"Palaeagapetus nearcticus"	0	NA	NA	NA	NA	NA	NA	199
"Prionoxystus robiniae"	15	223.021445257143	261.495633462838	34.6859753498859	3	-1.10921454038979	0.015	199
"Phyllodes eyndhovii"	2	14.88824	255.395065839196	95.996577762502	4	-2.50536874797991	0.02	199
"Megathymus yuccae"	2	4.35456	252.614522005025	90.8846163967627	1	-2.73159498106071	0.005	199
"Yponomeuta evonymellus"	2	26.2142	257.42811019598	87.7288267188448	1	-2.63555229043447	0.005	199
"Striglina suzukii"	2	13.25557	265.302618467337	93.7418087909396	1	-2.68873677303843	0.005	199
"Phymatopus californicus"	3	180.305552	250.46806280067	54.9222116841538	6	-1.27748880915721	0.03	199
"Parides eurimedes"	2	49.1268	250.412729703518	81.280580472188	4	-2.47643322100034	0.02	199
"Nemophora degeerella"	2	88.2524	260.940340110553	95.9663391922422	2	-1.79946366157221	0.01	199
"Bombyx mori"	2	247.46967	253.063759944724	86.4261277567583	132	-0.0647268377043094	0.66	199
"Thyridopteryx ephemeraeformis"	92	326.411522662685	259.616366765158	11.7825094611632	200	5.66900931568898	1	199
"Macaria distribuaria"	2	21.7808	271.481801331658	123.725389549388	2	-2.01818723094005	0.01	199
"Enteucha acetosae"	2	17.84176	273.03601920603	123.489104091231	2	-2.06653259883963	0.01	199
"Eudocima salaminia"	8	225.144574178571	256.779828818378	41.4171770426919	18	-0.763819673349473	0.09	199
"Euproctis chrysorrhoea"	41	224.213969431707	260.384379714119	19.1123663225486	1	-1.89251344768013	0.005	199
"Bombyx mandarina"	5	234.386966	254.675762723618	48.9285401621365	62	-0.414661803854893	0.31	199
"Zygaena fausta"	2	9.73404	247.448595135678	81.9612556333454	1	-2.90032837221403	0.005	199
"Lymantria dispar"	79	331.320655874716	259.743617834515	13.5207585546615	200	5.29386260029944	1	199
"Papilio machaon"	38	134.539928426743	256.705829500597	19.6681748471652	1	-6.21134914770511	0.005	199
"Synemon plana"	2	20.82455	249.40454839196	83.3762305082568	2	-2.74154872436124	0.01	199
"Amphipyra pyramidea"	9	212.409604944444	260.824827668342	42.9343468607562	2	-1.12765713848906	0.01	199
"Philodoria splendida"	2	27.6472	259.235441336683	96.8700696934191	2	-2.39070996923641	0.01	199
"Acanthopteroctetes unifascia"	2	8.92874	271.709514874372	123.819413243758	1	-2.12229058424827	0.005	199
"Plutella xylostella"	22	206.186826121212	258.054990569384	25.2588733323497	1	-2.05346310445853	0.005	199
"Mania lunus"	2	237.15826	250.171364643216	91.5323518225084	53	-0.142169455761936	0.265	199
"Podosesia syringae"	6	105.906792666667	262.560265955444	52.3948302865001	1	-2.98986507699673	0.005	199
"Leucoptera coffeella"	2	6.0147	252.491532939698	80.9520721591876	1	-3.04472543278467	0.005	199
"Epicopeia hainesii"	2	95.4208	254.420536909548	91.520050868241	7	-1.73732133451778	0.035	199
"Striacosta albicosta"	5	214.0208232	266.190895768844	64.9132467082835	12	-0.803689157673682	0.06	199
"Hebomoia glaucippe"	4	77.5267831666667	252.444579103015	50.121097981039	1	-3.48990351333725	0.005	199
"Amyelois transitella"	33	231.881996409091	257.963323336112	20.7203733431243	6	-1.25872861917694	0.03	199
"Lantanophaga pusillidactyla"	4	196.265166833333	261.442515055276	64.1580976555814	3	-1.01588654594831	0.015	199
"Papilio glaucus"	29	233.74009173399	259.314454416194	21.8765563629759	14	-1.16903054840416	0.07	199
"Agrotis infusa"	9	330.604929888889	262.528449811558	45.0925609313509	172	1.50970534099784	0.86	199
"Hemiargus ceraunus"	15	130.985642704762	259.426218535152	33.5900480976072	1	-3.82376873820373	0.005	199
"Tegeticula yuccasella"	2	4.35456	252.614522005025	90.8846163967627	1	-2.73159498106071	0.005	199
"Danaus plexippus"	18	127.141157594771	255.885786384833	27.2318535949108	1	-4.72772183286567	0.005	199
"Biston betularia"	55	282.031975360269	260.882320941421	16.9813054949143	171	1.24546692980599	0.855	199
"Ascia monuste"	17	127.977503808824	252.08677125606	27.2253563305927	1	-4.55859111411432	0.005	199
"Helicopsyche borealis"	0	NA	NA	NA	NA	NA	NA	199
"Morpheis pyracmon"	5	203.874892	267.033142392965	62.3037214083013	2	-1.01371553681462	0.01	199
"Manoba major"	2	52.704	277.497723050251	118.457424619229	2	-1.89767525144863	0.01	199
"Mythimna separata"	3	63.0236766666667	261.087322539363	85.9418096147486	1	-2.30462503361934	0.005	199
"Mustilizans dierli"	2	222.297188	253.111776316583	97.8759993537288	33	-0.314832936777661	0.165	199
"Bembecia ichneumoniformis"	4	79.4632895	254.610875518425	58.1845119167107	1	-3.01020976628873	0.005	199
"Lyssa zampa"	2	237.158199	251.391047201005	88.2041146727032	59	-0.161362633181212	0.295	199
"Tineola bisselliella"	0	NA	NA	NA	NA	NA	NA	199
"Tuta absoluta"	2	22.3962	257.488984984925	95.1675831500257	1	-2.47030319782647	0.005	199
"Bucculatrix cristatella"	4	17.6936355	270.004887813233	74.8385185815957	1	-3.37140896286102	0.005	199
"Dalcera abrasa"	10	242.790547688889	255.283644423674	35.7648181665194	103	-0.349312463343662	0.515	199
"Emmelina monodactyla"	13	200.068493102564	257.297963129622	31.8478996004022	1	-1.79696214648754	0.005	199
"Ectropis obliqua"	16	236.701746358333	258.469329961516	29.3573505047056	32	-0.741469622733614	0.16	199
"Luehdorfia chinensis"	2	11.91972	253.967506361809	95.6418476281197	1	-2.53077279835657	0.005	199
"Tridrepana flava"	2	11.2713	255.400636939699	78.2637764418231	1	-3.11931455443082	0.005	199
"Hyposmocoma kahamanoa"	0	NA	NA	NA	NA	NA	NA	199
"Lacosoma chiridota"	2	23.5534	248.99564778392	69.4636357085011	2	-3.24547146840932	0.01	199
"Catoptria falsella"	0	NA	NA	NA	NA	NA	NA	199
"Stigmella atricapitella"	2	23.5534	248.99564778392	69.4636357085011	2	-3.24547146840932	0.01	199
"Hemileuca maia"	15	220.601894857143	261.564012261402	36.6033064007236	1	-1.11908243905118	0.005	199
"Operophtera brumata"	31	266.060621544086	259.978799160469	22.1381652460134	131	0.274721157604162	0.655	199
"Coptotriche citrinipennella"	0	NA	NA	NA	NA	NA	NA	199
"Enyo lugubris"	7	201.140069714286	260.256289029911	47.7120110400772	2	-1.23902174791939	0.01	199
"Nemoria lixaria"	3	223.358496666667	254.302852462312	66.4141451410726	32	-0.465930198000966	0.16	199
"Alucita desmodactyla"	2	28.577567	258.035638929648	94.9413192336059	3	-2.41684098959127	0.015	199
